brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
MoochSingh,LSTTSHFGYYTZC3YJWMAAJQ08C,259,999,TSHFGYYTZC3YJWMA,http://flipkart.com/moochsingh-self-design-men-round-neck-green-t-shirt/p/itmca179180e100c,Self Design Men Round Neck Green T-Shirt
Young Trendz,LSTTSHETWJ5GMXN8BUNNRYRIS,348,"1,099",TSHETWJ5GMXN8BUN,http://flipkart.com/young-trendz-typography-men-round-crew-dark-blue-t-shirt/p/itmf3yvyvqzraugh,Typography Men Round or Crew Dark Blue T-Shirt
Black Collection,LSTTSHEV65FJFSBT69B59U5GH,599,"1,399",TSHEV65FJFSBT69B,http://flipkart.com/black-collection-solid-men-turtle-neck-blue-t-shirt/p/itmf3zurtwkawgbs,Solid Men Turtle Neck Blue T-Shirt
Smartees,LSTTSHFQKKSJNYZGHUHXIASAL,601,999,TSHFQKKSJNYZGHUH,http://flipkart.com/smartees-printed-men-round-neck-multicolor-t-shirt/p/itm88309f4da49f9,Printed Men Round Neck Multicolor T-Shirt
Metronaut,LSTTSHFNXZZYFQVNHSTPAIAZR,647,"1,299",TSHFNXZZYFQVNHST,http://flipkart.com/metronaut-printed-men-polo-neck-dark-blue-white-t-shirt/p/itm80759fd5ae6d6,"Printed Men Polo Neck Dark Blue, White T-Shirt"
Metronaut,LSTTSHFD8AHVHWFECH5JOJMDH,299,599,TSHFD8AHVHWFECH5,http://flipkart.com/metronaut-self-design-men-round-neck-maroon-t-shirt/p/itmfd8ahvzf38d86,Self Design Men Round Neck Maroon T-Shirt
London HILLS,LSTTSHFZHT5ZXHCNWZFWQIJIR,699,"2,599",TSHFZHT5ZXHCNWZF,http://flipkart.com/london-hills-typography-men-round-neck-dark-blue-black-t-shirt/p/itm433b170a6a7c1,"Typography Men Round Neck Dark Blue, Black T-Shirt"
UZEE,LSTTSHFNZUFPGKSFTB2RNN28N,269,"1,999",TSHFNZUFPGKSFTB2,http://flipkart.com/uzee-striped-men-round-neck-multicolor-t-shirt/p/itmd4578cfc9b278,Striped Men Round Neck Multicolor T-Shirt
LEWEL,LSTTSHFJ27ESARV7EQSGT26GV,409,"1,999",TSHFJ27ESARV7EQS,http://flipkart.com/lewel-color-block-men-hooded-neck-red-white-blue-t-shirt/p/itme5c3571c1a26a,"Color Block Men Hooded Neck Red, White, Blue T-Shirt"
JUST DRESS BETTER,LSTTSHF8G2WBWZRCQNR9APURM,449,899,TSHF8G2WBWZRCQNR,http://flipkart.com/just-dress-better-solid-men-round-neck-white-t-shirt/p/itmf8g5krs5hvpjv,Solid Men Round Neck White T-Shirt
Tivy,LSTTSHFMBHSY3HNZMYSQPUEYJ,934,"3,996",TSHFMBHSY3HNZMYS,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itm7d51d926b4254,Solid Men V Neck Multicolor T-Shirt
Tivy,LSTTSHFMBHSY3HNZMYSQPUEYJ,934,"3,996",TSHFMBHSY3HNZMYS,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itm7d51d926b4254,Solid Men V Neck Multicolor T-Shirt
Tivy,LSTTSHFMBHPEBYDWSGAUQBLHI,934,"3,996",TSHFMBHPEBYDWSGA,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itm0ff9c51356341,Solid Men V Neck Multicolor T-Shirt
Tivy,LSTTSHFMBHYYHMKZFYXMFFOID,934,"3,996",TSHFMBHYYHMKZFYX,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itm4a23f198b6956,Solid Men V Neck Multicolor T-Shirt
Tivy,LSTTSHFMBHSADBTV5HYKFKHPZ,934,"3,996",TSHFMBHSADBTV5HY,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itmdf30fa6226e9f,Solid Men V Neck Multicolor T-Shirt
Tivy,LSTTSHFMBHPHMRZUNNDNINU1R,934,"3,996",TSHFMBHPHMRZUNND,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itmb3520e7ce4d7e,Solid Men V Neck Multicolor T-Shirt
AD & AV,LSTTSHFZQHB9ZYXMZZH4CVVK9,470,"1,299",TSHFZQHB9ZYXMZZH,http://flipkart.com/ad-av-solid-men-v-neck-multicolor-t-shirt/p/itmd08cbedd87107,Solid Men V Neck Multicolor T-Shirt
Ronit Leading Clothing,LSTTSHFMCWDMYPTMFJHAFIQZM,233,"1,099",TSHFMCWDMYPTMFJH,http://flipkart.com/ronit-leading-clothing-printed-men-hooded-neck-red-t-shirt/p/itmd39bac084c1a7,Printed Men Hooded Neck Red T-Shirt
DIFFERENCE OF OPINION,LSTTSHENMRCERN32UY8INEZDU,449,999,TSHENMRCERN32UY8,http://flipkart.com/difference-opinion-printed-men-round-crew-green-t-shirt/p/itmenmqrsn2aqcxz,Printed Men Round or Crew Green T-Shirt
Tripr,LSTTSHFJXEDHZJJDCNWCI0MVT,401,"1,399",TSHFJXEDHZJJDCNW,http://flipkart.com/tripr-color-block-men-polo-neck-dark-blue-white-t-shirt/p/itm6faf976790fa5,"Color Block Men Polo Neck Dark Blue, White T-Shirt"
Diwazzo,LSTTSHFPUN3WC2NC8BQDBAZW3,299,999,TSHFPUN3WC2NC8BQ,http://flipkart.com/diwazzo-solid-men-round-neck-pink-t-shirt/p/itmaf1fe624795eb,Solid Men Round Neck Pink T-Shirt
Wexford,LSTTSHEN96MXGYH8WU7QLGDPV,489,899,TSHEN96MXGYH8WU7,http://flipkart.com/wexford-solid-men-polo-neck-red-t-shirt/p/itmf3yvkh2qmu8b8,Solid Men Polo Neck Red T-Shirt
Metronaut,LSTTSHFNXPYFHEX7XHHZIGHPA,549,"1,099",TSHFNXPYFHEX7XHH,http://flipkart.com/metronaut-striped-men-polo-neck-blue-t-shirt/p/itmf6dc821d6f613,Striped Men Polo Neck Blue T-Shirt
Billion,LSTTSHEVPYJFG8ZGTRYJMFWYQ,699,"1,399",TSHEVPYJFG8ZGTRY,http://flipkart.com/billion-perfectfit-solid-men-round-crew-white-black-t-shirt/p/itmf3ywynugnnt8c,"PerfectFit Solid Men Round or Crew White, Black T-Shirt"
Smartees,LSTTSHFPHQBQPU9VBJDF1BEYG,299,999,TSHFPHQBQPU9VBJD,http://flipkart.com/smartees-typography-men-round-neck-maroon-black-t-shirt/p/itm87a1dced2379f,"Typography Men Round Neck Maroon, Black T-Shirt"
WEFT,LSTTSHFK666EYZUJC6HTUYVQN,243,949,TSHFK666EYZUJC6H,http://flipkart.com/weft-color-block-men-v-neck-multicolor-t-shirt/p/itmf4b17f4e7773c,Color Block Men V Neck Multicolor T-Shirt
